@relation inputbaru4

@attribute Ax numeric
@attribute Ay numeric
@attribute Az numeric
@attribute Lx numeric
@attribute Ly numeric
@attribute Lz numeric
@attribute Gx numeric
@attribute Gy numeric
@attribute Gz numeric
@attribute Class {walking,standing,jogging,sitting}

@data
-1.216019,3.275421,9.06134,0.058626,0.005219,-0.018188,0.017593,-0.091751,-0.055756,walking
-1.255249,3.295029,9.100571,0.058626,0.005219,-0.018188,0.017593,-0.091751,-0.055756,walking
-1.255249,3.295029,9.100571,-0.073281,0.052113,-0.168427,0.017593,-0.091751,-0.055756,walking
-1.33371,3.314652,9.041733,-0.073281,0.052113,-0.168427,0.017593,-0.091751,-0.055756,walking
-1.314087,3.314652,8.943665,-0.073281,0.052113,-0.168427,0.017593,-0.091751,-0.055756,walking
-1.314087,3.314652,8.943665,-0.073281,0.052113,-0.168427,0.027557,-0.006805,-0.054337,walking
-1.274872,3.236191,8.786758,-0.073281,0.052113,-0.168427,0.027557,-0.006805,-0.054337,walking
-1.274872,3.19696,8.943665,-0.073281,0.052113,-0.168427,0.027557,-0.006805,-0.054337,walking
-1.294479,3.177353,8.963272,-0.073281,0.052113,-0.168427,0.027557,-0.006805,-0.054337,walking
-1.294479,3.19696,9.100571,-0.073281,0.052113,-0.168427,0.027557,-0.006805,-0.054337,walking
-1.196411,3.138123,9.06134,-0.073281,0.052113,-0.168427,0.027557,-0.006805,-0.054337,walking
-1.157181,3.138123,8.806366,-0.073281,0.052113,-0.168427,0.027557,-0.006805,-0.054337,walking
-1.216019,3.177353,8.708298,-0.073281,0.052113,-0.168427,0.027557,-0.006805,-0.054337,walking
-1.274872,3.079285,8.747528,-0.073281,0.052113,-0.168427,0.027557,-0.006805,-0.054337,walking
-1.274872,3.079285,8.747528,0.037843,-0.084945,-0.228824,0.027557,-0.006805,-0.054337,walking
-1.196411,3.040054,8.884827,0.037843,-0.084945,-0.228824,0.027557,-0.006805,-0.054337,walking
-1.196411,3.020447,9.080963,0.037843,-0.084945,-0.228824,0.027557,-0.006805,-0.054337,walking
-1.196411,3.020447,9.080963,0.037843,-0.084945,-0.228824,-0.042343,0.001068,0.026962,walking
-1.137573,3.020447,9.06134,0.037843,-0.084945,-0.228824,-0.042343,0.001068,0.026962,walking
-1.098343,3.079285,9.022125,0.037843,-0.084945,-0.228824,-0.042343,0.001068,0.026962,walking
-1.098343,3.118515,8.943665,0.037843,-0.084945,-0.228824,-0.042343,0.001068,0.026962,walking
-1.274872,3.138123,8.963272,0.037843,-0.084945,-0.228824,-0.042343,0.001068,0.026962,walking
-1.294479,3.177353,9.041733,0.037843,-0.084945,-0.228824,-0.042343,0.001068,0.026962,walking
-1.314087,3.118515,9.198639,0.037843,-0.084945,-0.228824,-0.042343,0.001068,0.026962,walking
-1.235642,3.118515,9.355545,0.037843,-0.084945,-0.228824,-0.042343,0.001068,0.026962,walking
-1.235642,3.079285,9.277084,0.037843,-0.084945,-0.228824,-0.042343,0.001068,0.026962,walking
-1.235642,3.079285,9.277084,-0.097816,0.010938,0.11174,-0.042343,0.001068,0.026962,walking
-1.294479,3.157745,9.120178,-0.097816,0.010938,0.11174,-0.042343,0.001068,0.026962,walking
-1.294479,3.118515,9.080963,-0.097816,0.010938,0.11174,-0.042343,0.001068,0.026962,walking
-1.294479,3.118515,9.080963,-0.097816,0.010938,0.11174,-0.047302,-0.012573,0.014618,walking
-1.33371,3.079285,9.100571,-0.097816,0.010938,0.11174,-0.047302,-0.012573,0.014618,walking
-1.196411,3.118515,9.198639,-0.097816,0.010938,0.11174,-0.047302,-0.012573,0.014618,walking
-1.196411,3.040054,9.296707,-0.097816,0.010938,0.11174,-0.047302,-0.012573,0.014618,walking
-1.098343,2.961609,9.316315,-0.097816,0.010938,0.11174,-0.047302,-0.012573,0.014618,walking
-0.647232,2.922379,9.296707,-0.097816,0.010938,0.11174,-0.047302,-0.012573,0.014618,walking
-0.823761,2.785095,9.335938,-0.097816,0.010938,0.11174,-0.047302,-0.012573,0.014618,walking
-0.608017,2.687027,9.335938,-0.097816,0.010938,0.11174,-0.047302,-0.012573,0.014618,walking
-1.059113,3.275421,8.335648,-0.097816,0.010938,0.11174,-0.047302,-0.012573,0.014618,walking
-1.059113,3.275421,8.335648,-0.00284,0.018332,0.095271,-0.047302,-0.012573,0.014618,walking
-1.314087,3.353882,8.119904,-0.00284,0.018332,0.095271,-0.047302,-0.012573,0.014618,walking
-1.510223,3.19696,7.649185,-0.00284,0.018332,0.095271,-0.047302,-0.012573,0.014618,walking
-1.510223,3.19696,7.649185,-0.00284,0.018332,0.095271,-0.018448,0.060867,-0.082764,walking
-1.490616,3.098908,7.962997,-0.00284,0.018332,0.095271,-0.018448,0.060867,-0.082764,walking
-1.372925,2.883148,8.943665,-0.00284,0.018332,0.095271,-0.018448,0.060867,-0.082764,walking
-1.196411,2.588959,9.943939,-0.00284,0.018332,0.095271,-0.018448,0.060867,-0.082764,walking
-1.314087,2.569336,10.336212,-0.00284,0.018332,0.095271,-0.018448,0.060867,-0.082764,walking
-1.451386,2.726242,10.081238,-0.00284,0.018332,0.095271,-0.018448,0.060867,-0.082764,walking
-1.470993,2.902771,9.708588,-0.00284,0.018332,0.095271,-0.018448,0.060867,-0.082764,walking
-1.372925,3.000839,9.512451,-0.00284,0.018332,0.095271,-0.018448,0.060867,-0.082764,walking
-1.372925,3.020447,9.394775,-0.00284,0.018332,0.095271,-0.018448,0.060867,-0.082764,walking
-1.372925,3.020447,9.394775,-0.046968,-0.070986,0.331387,-0.018448,0.060867,-0.082764,walking
-1.529831,3.000839,9.355545,-0.046968,-0.070986,0.331387,-0.018448,0.060867,-0.082764,walking
-1.686737,3.079285,9.218246,-0.046968,-0.070986,0.331387,-0.018448,0.060867,-0.082764,walking
-1.686737,3.079285,9.218246,-0.046968,-0.070986,0.331387,-0.068314,-0.132751,-0.200989,walking
-1.765198,3.118515,9.218246,-0.046968,-0.070986,0.331387,-0.068314,-0.132751,-0.200989,walking
-1.627899,3.118515,9.080963,-0.046968,-0.070986,0.331387,-0.068314,-0.132751,-0.200989,walking
-1.588684,3.079285,9.002502,-0.046968,-0.070986,0.331387,-0.068314,-0.132751,-0.200989,walking
-1.66713,3.079285,8.963272,-0.046968,-0.070986,0.331387,-0.068314,-0.132751,-0.200989,walking
-1.725967,3.040054,9.139801,-0.046968,-0.070986,0.331387,-0.068314,-0.132751,-0.200989,walking
-1.647522,3.020447,9.335938,-0.046968,-0.070986,0.331387,-0.068314,-0.132751,-0.200989,walking
-0.961044,3.177353,9.277084,-0.046968,-0.070986,0.331387,-0.068314,-0.132751,-0.200989,walking
-1.117966,2.902771,8.943665,-0.046968,-0.070986,0.331387,-0.068314,-0.132751,-0.200989,walking
-1.117966,2.902771,8.943665,-0.44139,0.1825,-0.142789,-0.068314,-0.132751,-0.200989,walking
-1.33371,2.804703,9.06134,-0.44139,0.1825,-0.142789,-0.068314,-0.132751,-0.200989,walking
-1.216019,2.745865,9.120178,-0.44139,0.1825,-0.142789,-0.068314,-0.132751,-0.200989,walking
-1.216019,2.745865,9.120178,-0.44139,0.1825,-0.142789,-0.004532,-0.032242,0.057098,walking
-1.176804,2.804703,9.080963,-0.44139,0.1825,-0.142789,-0.004532,-0.032242,0.057098,walking
-1.157181,2.863541,9.159409,-0.44139,0.1825,-0.142789,-0.004532,-0.032242,0.057098,walking
-1.137573,2.843933,9.375153,-0.44139,0.1825,-0.142789,-0.004532,-0.032242,0.057098,walking
-1.137573,2.843933,9.532059,-0.44139,0.1825,-0.142789,-0.004532,-0.032242,0.057098,walking
